Name,Mileage (kmpl),Type 
Honda Activa 6G,47,Moped 
Honda Activa 125,45.5,Moped 
Honda Dio 110,48,Moped 
Honda Dio 125,48,Moped 
Honda SP 125,65,Bike
Honda Shine,55,Bike
Honda SP160,50,Bike
Honda Unicorn,50,Bike
Honda Shine 100,65,Bike
Honda Hness CB350,35,Bike
Honda Hornet 2.0,45,Bike
Honda CB350,35,Bike
Honda CB200X,42.5,Bike
Honda Livo,60,Bike
Honda CB350RS,35,Bike
Honda CB300R,35,Bike
Honda CB300F,35,Bike
Honda CD 110 Dream,60,Bike
Hero Super Splendor,55,Bike
Hero Splendor Plus,60,Bike
Hero Splendor Plus Xtec,60,Bike
Hero Super Splendor Xtec,60,Bike
Hero Xtreme 125R,60,Bike
Hero HF Deluxe,65,Bike
Hero Xtreme 160R,46,Bike
Hero Xpulse 200 4V,40,Bike
Hero Mavrick 440,32,Bike
Hero Glamour,55,Bike
Hero Xtreme 160R 4V,46,Bike
Hero Karizma XMR,35,Bike
Hero Glamour Xtec,55,Bike
Hero Passion Plus,60,Bike
Hero Pleasure +,50,Moped 
Hero Xoom,45,Moped 
Hero Passion Plus,60,Bike
Hero Destini 125 Xtec,45,Moped 
Hero Passion Xtec,60,Bike
Hero Pleasure + Xtec,50,Moped 
Hero Destini Prime,55,Moped 
TVS Jupiter,46,Moped 
TVS Ntorq 125,41,Moped 
TVS Jupiter 125,48,Moped 
TVS XL 100 Heavy Duty,55,Moped 
TVS Zest 110,45,Moped 
TVS XL 100 Comfort,55,Moped 
TVS Raider 125,57,Bike
TVS Apache RTR 160,45,Bike
TVS Ronin,40,Bike
TVS Apache RTR 160 4V,45,Bike
TVS Apache RR 310,30,Bike
TVS Sport,70,Bike
TVS Apache RTR 200 4V,38.5,Bike
TVS Apache RTR 310,30,Bike
TVS Radeon,63.5,Bike
TVS Apache RTR 180,40,Bike
TVS Star City Plus,67,Bike
Bajaj Freedom,100,Bike
Bajaj Pulsar N160,45,Bike
Bajaj Pulsar NS400Z,34.5,Bike
Bajaj Pulsar 150,47,Bike
Bajaj Pulsar NS200,36,Bike
Bajaj Pulsar 125,50,Bike
Bajaj Pulsar NS160,42,Bike
Bajaj Pulsar NS125,50,Bike
Bajaj Pulsar RS 200,35,Bike
Bajaj Pulsar N150,47,Bike
Bajaj Dominar 400,29,Bike
Bajaj Pulsar 220 F,40,Bike
Bajaj Pulsar N250,35,Bike
Bajaj Dominar 250,32,Bike
Bajaj Platina 100,72,Bike
Bajaj Platina 110,70,Bike
Bajaj Avenger Street 160,45,Bike
Bajaj CT 125X,60,Bike
Bajaj CT 110,70,Bike
Bajaj Pulsar P150,48,Bike
Bajaj Pulsar F250,38,Bike
Bajaj Avenger Cruise 220,40,Bike
Bajaj Avenger Street 220,40,Bike
Royal Enfield Hunter 350,35,Bike
Royal Enfield Classic 350,34,Bike
Royal Enfield Bullet 350,35,Bike
Royal Enfield Continental GT 650,25,Bike
Royal Enfield Meteor 350,35,Bike
Royal Enfield Guerrilla 450,29.5,Bike
Royal Enfield Himalayan 450,30,Bike
Royal Enfield Super Meteor 650,23,Bike
Royal Enfield Interceptor 650,24,Bike
Royal Enfield Scram 411,30,Bike
Royal Enfield Shotgun 650,22,Bike
Yamaha Ray ZR 125,51,Moped 
Yamaha Aerox 155,40,Moped 
Yamaha Fascino 125,50,Moped 
Yamaha MT 15 V2,48,Bike
Yamaha R15 V4,45,Bike
Yamaha FZS FI V4,48,Bike
Yamaha FZ S FI,45,Bike
Yamaha FZ X,48,Bike
Yamaha FZ FI,48,Bike
Yamaha R15S,43.5,Bike
Yamaha YZF-R3,25,Bike
Yamaha MT-03,26.31,Bike
KTM 200 Duke,35,Bike
KTM 250 Duke,32,Bike
KTM 390 Duke,30,Bike
KTM 125 Duke,40,Bike
KTM RC 200,35,Bike
KTM RC 390,29,Bike
KTM 390 Adventure,28,Bike
KTM RC 125,36.5,Bike
KTM 250 Adventure,31,Bike
KTM 390 Adventure X,30,Bike
Suzuki Access 125,55,Moped 
Suzuki Burgman Street 125,50,Moped 
Suzuki Avenis 125,52,Moped 
Suzuki Gixxer SF,45,Bike
Suzuki V-Strom SX,37,Bike
Suzuki Hayabusa,15,Bike
Suzuki Gixxer,45,Bike
Suzuki GSX-8R,22,Bike
Suzuki Gixxer SF 250,36,Bike
Suzuki Gixxer 250,35,Bike
Suzuki Katana,23,Bike
Suzuki V-Strom 800DE,22.7,Bike
Vespa VXL 125,38,Moped 
Vespa SXL 125,35,Moped 
Vespa VXL 150,45,Moped 
Vespa SXL 150,35,Moped 
Vespa ZX 125,45,Moped 
Aprilia SR 160,35,Moped 
Aprilia SR 125,40,Moped 
Aprilia SXR 160,35,Moped 
Aprilia Storm 125,40,Moped 
Aprilia SXR 125,40,Moped 
Aprilia RS 457,30,Bike
Aprilia RS 660,20.4,Bike
Aprilia RSV4 1100 Factory,14.49,Bike
Aprilia Tuono 660,20.4,Bike
Aprilia Tuareg 660,19.2,Bike
Jawa 42 Bobber,30,Bike
Jawa 42,35,Bike
Jawa 350,30,Bike
Yezdi Roadster,28,Bike
Yezdi Adventure,30,Bike
Yezdi Scrambler,26,Bike