Name,Mileage ,Type 
Tata Ace gold,22,Mini Truck
Tata Intra V30,14,Mini Truck
Tata Intra V50,22,Mini Truck
Tata 407 Gold SFC,10,Truck
Tata Intra V10,17,Mini Truck
Tata 1512 LPT,6.5,Truck
Tata Yodha Pickup,14,Mini Truck
Tata Signa 5530.S,3.25,Truck
Tata Intra V70,15,Mini Truck
Tata Signa 3523.TK,3.5,Truck
Tata 709g LPT,9,Truck
Tata 1109g LPT,7.5,Truck
Tata Signa 1923.K,4.5,Truck
Tata Yodha 2.0,13,Mini Truck
Tata Signa 4018.S,3.5,Truck
Tata 912 LPK,7,Truck
Tata Signa 4825.TK,3,Truck
Tata 1412 LPT,6,Truck
Tata 1212 LPT,7,Truck
Tata 712 LPT,9,Truck
Tata Prima FL 5530.S,3.25,Truck
Tata 710 LPT,9,Truck
Tata Signa 2823.K HD 9S,3.75,Truck
Tata Prima 3530.K,3.25,Truck
Tata Signa 5525.S,3.5,Truck
Tata Ultra 1918.T,6,Truck
Tata 1212 LPK,4.5,Truck
Tata Ace HT+,18,Mini Truck
Tata Signa 2823.K/.TK 6S STD,5.5,Truck
Tata Signa 5530.S 4x2,3.25,Truck
Tata Signa 3525.K/.TK,3.5,Truck
Tata Signa 2823.K Drill Rig,3.75,Truck
Tata Ace Diesel,22,Mini Truck
Tata Prima 2830.K,4.25,Mini Truck
Tata 610 SK,8,Truck
Tata Signa 2823.K RMC STD 6S,3.75,Truck
Tata Intra V20 Gold,11.5,Mini Truck
Tata 709g LPT TT,8.5,Truck
Tata 1412g LPT,7,Truck
Ashok Leyland Dost +,19.6,Mini ruck
Ashok Leyland AVTR 2820-6x4,4,Truck
Ashok Leyland Ecomet 1615,6.5,Truck
Ashok Leyland Dost Strong,19.6,Mini Truck
Ashok Leyland Partner 6 Tyre,8.5,Truck
Ashok Leyland 5525 6x4,4,Truck
Ashok Leyland Partner 4 Tyre,7,Truck
Ashok Leyland AVTR 1920-4x2 Haulage,6.5,Truck
Ashok Leyland Ecomet 1915,6,Truck
Ashok Leyland AVTR 1920 4x2,4.5,Truck
Ashok Leyland AVTR 2820-6x4 RMC,6,Truck
Ashok Leyland Dost LiTE,19.6,Mini Truck
Ashok Leyland AVTR 2825-6x4,3.75,Truck
Ashok Leyland 5525 4x2,4,Truck
Ashok Leyland Ecomet 1015,8,Truck
Ashok Leyland 4220-10x2 STLA,3.5,Truck
Ashok Leyland Ecomet 1215,7,Truck
Ashok Leyland Boss 1920,6.5,Truck
Ashok Leyland 2620 6X2 STLA,5.25,Truck
Ashok Leyland 4225 4x2,6,Truck
Ashok Leyland BOSS 1215,7,Truck
Ashok Leyland Ecomet 1415,7,Truck
Ashok Leyland 4620 4x2,4,Truck
Ashok Leyland AVTR 4220-10x4 Tipper,3.25,Truck
Ashok Leyland AVTR 3520-8x4,3.5,Truck
Ashok Leyland Partner Super 1114,6,Truck
Ashok Leyland BOSS 1115,7.5,Truck
Ashok Leyland 4020 4x2,4.5,Truck
Ashok Leyland 1916 HH-4X2,6,Truck
Ashok Leyland BOSS 1415,7,Truck
Ashok Leyland 3520-8x2 TS,4.5,Truck
Ashok Leyland Partner Super 914,8.5,Truck
Ashok Leyland 4425 4x2,6,Truck
Ashok Leyland AVTR 2825-6x4 RMC,3.75,Truck
Ashok Leyland 4125-8x2,4.25,Truck
Ashok Leyland 4120-8x2 DTLA,4.25,Truck
Ashok Leyland AVTR 4225-10x4 Tipper,4.5,Truck
Ashok Leyland 4420 4x2,6,Truck
Ashok Leyland Partner Super 1014,6.5,Truck
Ashok Leyland AVTR 4220-10x2,3.25,Truck
Ashok Leyland AVTR 3520-8x2,3.25,Truck
Mahindra Bolero Camper,15.1,Mini Truck
Mahindra Furio 14,6.5,Truck
Mahindra Supro Profit Truck Excel,23.61,Mini Truck
Mahindra Furio 17,6,Truck
Mahindra Furio 11,7.5,Truck
Mahindra Blazo X 55,3.25,Truck
Mahindra Blazo X 42 Tag Axle,4,Truck
Mahindra Jeeto,25,Mini Truck
Mahindra Supro Profit Truck Mini,23.3,Mini Truck
Mahindra Supro Profit Truck Maxi,21.94,Mini Truck
Mahindra JAYO,11,Mini Truck
Mahindra Bolero Maxx Pik-Up HD,17.2,Mini Truck
Mahindra Furio 7 Cargo,10,Truck
Mahindra Blazo X 28 M-Dura Tipper,4,Truck
Mahindra Loadking Optimo Tipper,8,Truck
Mahindra Furio 7 HD Cargo,9,Truck
Mahindra Furio 16,6,Truck
Mahindra Furio 7 Tipper,15,Truck
Mahindra Furio 12,7,Truck
Mahindra Blazo X 28,5,Truck
Mahindra Blazo X 35 Truck,4.5,Truck
Mahindra Blazo X 35 8x4 Tipper,3.5,Truck
Mahindra Blazo X 28 TRANSIT MIXER,4,Truck
Mahindra Loadking Optimo,11,Truck
Mahindra Blazo X 49,3.5,Truck
Mahindra Blazo X 46,4,Truck
Mahindra Blazo X 40,4.5,Truck
Mahindra Furio 14 HD,6.5,Truck
Mahindra Blazo X 35 M-Dura Tipper,4.5,Truck
Mahindra Blazo X 35 LIFT AXLE,4.5,Truck
Mahindra Blazo X 42 PUSHER AXLE,4,Truck