Name,Range,Battery,Efficiency (km/kWh)
Mahindra Treo Zor,125,7.3,17.12
Mahindra Zor Grand,100,10.24,9.77
Euler Motors HiLoad EV,170,13,13.07
Piaggio Ape E Xtra FX,115,8,14.375
Bajaj Maxima XL Cargo E-TEC 12.0,183,11.8,15.51
Mahindra E-Alfa Cargo,95,6.8,13.97
Bajaj Maxima XL Cargo E-TEC 9.0,149,8.9,16.74
Atul Elite Cargo,80,4.8,16.67
Dandera Otua,165,15,11
Kinetic Safar Shakti,120,4,30
Kinetic Safar Jumbo Ranger,140,10.7,13.08
Altigreen neEV Low Deck,151,11,13.73
Altigreen neEV TEZ,98,8.2,11.95
Altigreen neEV Bhai,135,9.85,13.7